CO2,Temp,Humidity,People,Time_Closed,Label
500,24.0,55.0,15,20,0
1350,26.0,60.0,35,40,1
850,29.0,50.0,25,50,1
450,22.0,45.0,10,15,0
1250,27.0,65.0,40,30,1
900,30.0,70.0,30,60,1
700,23.0,,12,10,0
1100,25.0,55.0,20,25,0
-200,80.0,200.0,50,-10,0
1450,28.0,60.0,45,100,1
600,24.5,58.0,18,22,0
1220,26.5,62.0,32,35,1
880,29.5,52.0,27,55,1
480,21.5,47.0,8,12,0
1280,27.5,63.0,38,32,1
920,30.5,68.0,28,65,1
750,23.5,51.0,14,15,0
1150,25.5,57.0,22,28,0
-150,75.0,180.0,48,-5,0
1400,28.5,59.0,42,95,1
550,25.0,56.0,16,21,0
1300,26.2,61.0,36,42,1
860,29.2,51.0,26,52,1
460,22.2,46.0,11,16,0
1260,27.2,64.0,41,31,1
910,30.2,69.0,31,62,1
720,23.2,50.0,13,12,0
1120,25.2,56.0,21,26,0
400,20.0,40.0,5,5,0
1500,29.0,60.0,50,110,1
520,24.8,54.0,17,23,0
1380,26.8,60.5,34,38,1
870,29.8,53.0,24,58,1
470,22.8,48.0,9,14,0
1270,27.8,66.0,39,34,1
930,30.8,71.0,29,68,1
730,23.8,49.0,15,11,0
1130,25.8,58.0,23,29,0
1210,26.0,,33,36,1
890,29.0,54.0,25,56,1
490,21.0,49.0,10,13,0
1290,27.0,62.0,37,33,1
940,30.0,72.0,30,64,1
740,23.0,48.0,14,14,0
1140,25.0,59.0,22,27,0
-50,90.0,-10.0,-5,200,0
1420,28.2,60.2,46,105,1
580,24.2,57.0,19,24,0
1320,26.4,59.0,33,45,1
840,29.4,55.0,26,48,1
440,22.4,44.0,7,18,0
1240,27.4,67.0,42,28,1
950,30.4,73.0,32,70,1
710,23.4,52.0,12,9,0
1110,25.4,54.0,20,24,0
1480,28.8,61.0,48,115,1
530,24.6,53.0,16,19,0
1360,26.6,58.0,37,39,1
820,29.6,56.0,23,46,1
420,22.6,42.0,6,8,0
1220,27.6,68.0,40,26,1
960,30.6,74.0,33,72,1
760,23.6,53.0,16,16,0
1160,25.6,53.0,24,31,0
1440,28.4,59.5,44,102,1
570,24.4,52.0,18,17,0
1340,26.1,57.0,38,41,1
810,29.1,57.0,22,49,1
410,22.1,43.0,8,7,0
1230,27.1,69.0,39,29,1
970,30.1,75.0,34,75,1
770,23.1,54.0,17,13,0
1170,25.1,52.0,25,32,0
1460,28.6,58.5,47,108,1
590,24.9,51.0,19,25,0
1310,26.9,56.0,35,43,1
830,29.9,58.0,24,47,1
430,22.9,41.0,9,19,0
1210,27.9,70.0,41,27,1
980,30.9,76.0,35,78,1
780,23.9,55.0,18,17,0
1180,25.9,51.0,26,34,0
1490,28.9,57.5,49,118,1
560,24.1,50.0,17,21,0
1330,26.3,55.0,36,44,1
825,29.3,59.0,23,51,1
425,22.3,42.5,7,9,0
1225,27.3,71.0,40,25,1
990,30.3,77.0,36,80,1
790,23.3,56.0,19,18,0
1190,25.3,50.0,27,35,0
1470,28.7,56.5,48,112,1
540,24.3,49.0,16,20,0
1370,26.7,54.0,34,37,1
835,29.7,60.0,25,53,1
435,22.7,43.5,8,10,0
1235,27.7,72.0,39,30,1
995,30.7,78.0,37,85,1
795,23.7,57.0,18,19,0
1195,25.7,49.0,28,36,0
